"1 HOUR BEFORE","1 DAY BEFORE","OUTPUT"
"6660.44064","7094.0988","6082.74936"
"6082.74936","6384.68892","6292.56384"
"6292.56384","5640.67368","6847.8084"
"6847.8084","5346.52812","5636.6208"
"5636.6208","5138.89596","5307.40224"
"5307.40224","4940.77248","5242.71204"
"5242.71204","4766.18688","5260.01472"
"5260.01472","5020.1154","5829.912"
"5829.912","5588.76564","6930.4248"
"6930.4248","6436.59696","7897.03668"
"7897.03668","6978.7476","7584.18552"
"7584.18552","6643.44972","4847.24448"
"4847.24448","3907.9116","5933.41632"
"5933.41632","7154.892","6014.47392"
"6014.47392","6498.32544","5898.4992"
"5898.4992","6414.15024","6138.5544"
"6138.5544","7272.11376","6001.38"
"6001.38","8264.7576","5744.48976"
"5744.48976","8058.996","5709.8844"
"5709.8844","7751.60064","6073.24068"
"6073.24068","7267.1256","6807.2796"
"6807.2796","6523.11036","7818.9408"
"7818.9408","5761.79244","7870.3812"
"7870.3812","5363.8308","7716.99528"
"7716.99528","5104.2906","7094.0988"
"7094.0988","4993.14816","6384.68892"
"6384.68892","5202.65088","5640.67368"
"5640.67368","5761.3248","5346.52812"
"5346.52812","5988.28608","5138.89596"
"5138.89596","6197.7888","4940.77248"
"4940.77248","6424.75008","4766.18688"
"4766.18688","6644.22912","5020.1154"
"5020.1154","6626.4588","5588.76564"
"5588.76564","6847.34076","6436.59696"
"6436.59696","6354.60408","6978.7476"
"6978.7476","6354.60408","6643.44972"
"6643.44972","6150.71304","3907.9116"
"3907.9116","5827.88556","7154.892"
"7154.892","5929.83108","6498.32544"
"6498.32544","6127.95456","6414.15024"
"6414.15024","6843.75552","7272.11376"
"7272.11376","8063.04888","8264.7576"
"8264.7576","8063.04888","8058.996"
"8058.996","8063.04888","7751.60064"
"7751.60064","6955.67736","7267.1256"
"7267.1256","6687.252","6523.11036"
"6523.11036","5709.8844","5761.79244"
"5761.79244","5554.16028","5363.8308"
"5363.8308","5450.3442","5104.2906"
"5104.2906","5294.62008","4993.14816"
"4993.14816","5208.10668","5202.65088"
"5202.65088","5260.01472","5761.3248"
"5761.3248","5420.88288","5988.28608"
"5988.28608","6094.28448","6197.7888"
"6197.7888","6683.51088","6424.75008"
"6424.75008","6717.18096","6644.22912"
"6644.22912","6750.85104","6626.4588"
"6626.4588","6835.02624","6847.34076"
"6847.34076","6919.20144","6354.60408"
"6354.60408","6700.34592","6354.60408"
"6354.60408","6447.82032","6150.71304"
"6150.71304","6422.56776","5827.88556"
"5827.88556","6456.5496","5929.83108"
"5929.83108","6354.60408","6127.95456"
"6127.95456","6473.54052","6843.75552"
"6843.75552","7051.2318","8063.04888"
"8063.04888","8546.43276","8063.04888"
"8063.04888","8393.51448","8063.04888"
"8063.04888","8291.56896","6955.67736"
"6955.67736","7170.16824","6687.252"
"6687.252","7526.97756","5709.8844"
"5709.8844","3381.19308","5554.16028"
"5554.16028","5415.73884","5450.3442"
"5450.3442","5277.3174","5294.62008"
"5294.62008","6288.35508","5208.10668"
"5208.10668","5865.60852","5260.01472"
"5260.01472","6099.74028","5420.88288"
"5420.88288","6065.75844","6094.28448"
"6094.28448","6082.74936","6683.51088"
"6683.51088","6966.2772","6717.18096"
"6717.18096","6439.55868","6750.85104"
"6750.85104","6473.54052","6835.02624"
"6835.02624","6430.98528","6919.20144"
"6919.20144","6750.85104","6700.34592"
"6700.34592","6584.3712","6447.82032"
"6447.82032","6464.3436","6422.56776"
"6422.56776","6412.9032","6456.5496"
"6456.5496","6303.63132","6354.60408"
"6354.60408","6652.9584","6473.54052"
"6473.54052","7306.0956","7051.2318"
"7051.2318","8529.44184","8546.43276"
"8546.43276","8648.37828","8393.51448"
"8393.51448","8648.37828","8291.56896"
"8291.56896","7645.914","7170.16824"
"7170.16824","7255.12284","7526.97756"
"7526.97756","6327.1692","3381.19308"
"3381.19308","5970.82752","5415.73884"
"5415.73884","5796.24192","5277.3174"
"5277.3174","5484.94956","6288.35508"
"6288.35508","5707.07856","5865.60852"
"5865.60852","5865.60852","6099.74028"
"6099.74028","6116.7312","6065.75844"
"6065.75844","6807.2796","6082.74936"
"6082.74936","8024.7024","6966.2772"
"6966.2772","6807.2796","6439.55868"
"6439.55868","6670.1052","6473.54052"
"6473.54052","6779.37708","6430.98528"
"6430.98528","6738.6924","6750.85104"
"6750.85104","6721.5456","6584.3712"
"6584.3712","6515.784","6464.3436"
"6464.3436","6052.8204","6412.9032"
"6412.9032","6350.08356","6303.63132"
"6303.63132","6592.32108","6652.9584"
"6652.9584","7115.922","7306.0956"
"7306.0956","8179.0236","8529.44184"
"8529.44184","8218.773","8648.37828"
"8648.37828","7832.81412","8648.37828"
"8648.37828","7747.85952","7645.914"
"7645.914","8410.5054","7255.12284"
"7255.12284","6167.70396","6327.1692"
"6327.1692","5522.049","5970.82752"
"5970.82752","5242.71204","5796.24192"
"5796.24192","5126.8932","5484.94956"
"5484.94956","5478.09084","5707.07856"
"5707.07856","5757.58368","5865.60852"
"5865.60852","6145.41312","6116.7312"
